,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Defect_of_vehicle,Area_accident_occured,Types_of_Junction,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
2834,Over 51,Male,Junior high school,Above 10yr,No defect,Residential areas,Y Shape,1,na,Driving carelessly,Slight Injury
2835,Unknown,Male,Junior high school,2-5yr,No defect,Office areas,No junction,1,Female,No distancing,Slight Injury
2836,18-30,Male,Junior high school,Below 1yr,No defect,Office areas,Y Shape,2,na,Other,Slight Injury
2837,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,2,Female,Changing lane to the right,Slight Injury
2838,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
2839,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
2840,31-50,Male,Elementary school,Above 10yr,No defect,Office areas,Y Shape,1,na,No distancing,Slight Injury
2841,18-30,Male,Elementary school,Above 10yr,No defect,Office areas,Y Shape,1,Female,Overturning,Slight Injury
2842,18-30,Male,Elementary school,Above 10yr,No defect,Residential areas,Crossing,1,na,Driving at high speed,Slight Injury
2843,31-50,Male,Junior high school,Above 10yr,No defect,Residential areas,Crossing,1,Male,No priority to vehicle,Slight Injury
2844,31-50,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,1,na,No priority to pedestrian,Slight Injury
2845,31-50,Male,Elementary school,5-10yr,No defect, Church areas,No junction,1,Male,No priority to vehicle,Slight Injury
2846,Unknown,Male,Junior high school,2-5yr,No defect,  Recreational areas,No junction,1,Female,Other,Slight Injury
2847,Unknown,Female,Junior high school,Above 10yr,, Industrial areas,Y Shape,1,na,Other,Slight Injury
2848,18-30,Male,Junior high school,Below 1yr,,Residential areas,Y Shape,1,Female,Moving Backward,Serious Injury
2849,Over 51,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,Female,No distancing,Serious Injury
2850,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,1,Female,Moving Backward,Slight Injury
2851,18-30,Male,Writing & reading,2-5yr,No defect,  Market areas,Crossing,1,Female,No priority to vehicle,Slight Injury
2852,31-50,Male,Junior high school,2-5yr,,Unknown,Crossing,2,Male,Driving carelessly,Slight Injury
2853,31-50,Male,High school,2-5yr,No defect, Industrial areas,Crossing,2,Male,No distancing,Slight Injury
2854,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,Y Shape,1,Male,Other,Slight Injury
2855,Over 51,Male,High school,5-10yr,No defect,Residential areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
2856,18-30,Male,Elementary school,2-5yr,No defect,Other,Unknown,1,na,No distancing,Slight Injury
2857,31-50,Male,Junior high school,1-2yr,No defect,Residential areas,Unknown,1,Female,Driving carelessly,Slight Injury
2858,31-50,Male,Elementary school,1-2yr,No defect,Rural village areas,Y Shape,1,na,No distancing,Slight Injury
2859,Unknown,Male,High school,No Licence,No defect,Rural village areas,Y Shape,1,na,No priority to vehicle,Slight Injury
2860,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
2861,18-30,Male,Junior high school,1-2yr,No defect,Residential areas,Crossing,1,na,No priority to pedestrian,Serious Injury
2862,31-50,Male,Junior high school,2-5yr,,Residential areas,No junction,1,Female,No priority to vehicle,Slight Injury
2863,Unknown,Male,Junior high school,5-10yr,7, Outside rural areas,No junction,1,na,Changing lane to the left,Slight Injury
2864,31-50,Male,,,,Residential areas,Y Shape,2,Male,Turnover,Slight Injury
2865,31-50,Male,,,5, Church areas,Y Shape,2,Female,Driving to the left,Slight Injury
2866,31-50,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,1,na,Driving carelessly,Slight Injury
2867,Unknown,Male,Junior high school,Above 10yr,No defect,Office areas,Crossing,1,Female,Driving to the left,Slight Injury
2868,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
2869,31-50,Male,,,,Other,Y Shape,1,Male,No priority to pedestrian,Slight Injury
2870,31-50,Male,Elementary school,Above 10yr,,Other,Y Shape,1,na,Driving carelessly,Slight Injury
2871,31-50,Male,,,No defect,Residential areas,No junction,1,Male,Changing lane to the right,Slight Injury
2872,31-50,Male,Junior high school,5-10yr,,Other,No junction,1,na,Moving Backward,Slight Injury
2873,18-30,Male,Junior high school,Above 10yr,,Other,No junction,1,na,Driving carelessly,Slight Injury
2874,18-30,Male,High school,Above 10yr,,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
2875,Over 51,Male,,,No defect,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
2876,31-50,Male,Elementary school,5-10yr,No defect,Other,No junction,1,na,Driving carelessly,Slight Injury
2877,Unknown,Male,Elementary school,Above 10yr,No defect,Other,No junction,1,Male,Driving carelessly,Slight Injury
2878,18-30,Male,Junior high school,Below 1yr,, Church areas,Crossing,1,Male,Changing lane to the right,Slight Injury
2879,31-50,Male,Junior high school,2-5yr,,Other,Crossing,1,na,Changing lane to the right,Slight Injury
2880,31-50,Male,Junior high school,2-5yr,, Industrial areas,Y Shape,1,na,Driving carelessly,Slight Injury
2881,31-50,Male,High school,5-10yr,No defect,Residential areas,Y Shape,1,Female,Overtaking,Slight Injury
2882,18-30,Male,Junior high school,,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
2883,18-30,Male,,Below 1yr,No defect,Office areas,Y Shape,1,na,No distancing,Slight Injury
2884,18-30,Male,Elementary school,Above 10yr,No defect, Industrial areas,Crossing,1,Male,Other,Slight Injury
2885,18-30,Male,Elementary school,Below 1yr,No defect, Industrial areas,Y Shape,1,na,Changing lane to the right,Slight Injury
2886,18-30,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
2887,31-50,Male,Junior high school,5-10yr,, Hospital areas,Y Shape,1,Female,Overtaking,Slight Injury
2888,31-50,Male,,,,Office areas,Unknown,1,Female,Other,Fatal injury
2889,18-30,Male,Junior high school,1-2yr,No defect, Church areas,Unknown,1,Female,Driving to the left,Fatal injury
2890,18-30,Male,High school,5-10yr,No defect, Hospital areas,Y Shape,1,na,Overtaking,Slight Injury
2891,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,Female,No priority to vehicle,Slight Injury
2892,Under 18,Male,Junior high school,5-10yr,No defect,Other,Y Shape,2,Female,Moving Backward,Slight Injury
2893,31-50,Male,Junior high school,5-10yr,,Office areas,Y Shape,2,Female,Other,Slight Injury
2894,31-50,Male,Junior high school,Above 10yr,,Office areas,No junction,1,Female,No priority to vehicle,Slight Injury
2895,31-50,Male,Junior high school,5-10yr,No defect,Other,No junction,1,na,No priority to pedestrian,Slight Injury
2896,31-50,Male,Junior high school,No Licence,No defect,Office areas,Y Shape,3,na,Changing lane to the right,Slight Injury
2897,18-30,Male,Above high school,Below 1yr,No defect,Residential areas,Y Shape,3,Male,Changing lane to the right,Slight Injury
2898,18-30,Male,Elementary school,5-10yr,,Other,Y Shape,3,Male,Changing lane to the right,Slight Injury
2899,18-30,Male,Elementary school,5-10yr,,Office areas,T Shape,1,na,Driving to the left,Slight Injury
2900,Unknown,Female,Junior high school,5-10yr,,Office areas,T Shape,1,Male,Changing lane to the left,Slight Injury
2901,Unknown,Male,High school,5-10yr,,Office areas,Crossing,1,Female,Moving Backward,Slight Injury
2902,Unknown,Female,Junior high school,5-10yr,No defect,Other,Crossing,1,na,Driving at high speed,Slight Injury
2903,18-30,Male,Junior high school,2-5yr,No defect, Church areas,No junction,4,na,Moving Backward,Slight Injury
2904,18-30,Male,Writing & reading,5-10yr,No defect, Industrial areas,No junction,4,Female,No distancing,Slight Injury
2905,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,No junction,4,na,Other,Slight Injury
2906,18-30,Male,Junior high school,1-2yr,No defect, Church areas,No junction,4,Male,No priority to vehicle,Slight Injury
2907,18-30,Male,Writing & reading,Below 1yr,,Office areas,No junction,4,Female,Changing lane to the right,Slight Injury
2908,Unknown,Male,Elementary school,1-2yr,No defect,Office areas,Y Shape,1,Male,Other,Slight Injury
2909,31-50,Male,Junior high school,5-10yr,,Residential areas,Y Shape,1,na,No distancing,Slight Injury
2910,31-50,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Female,Driving carelessly,Slight Injury
2911,18-30,Male,Elementary school,5-10yr,,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
2912,Over 51,Male,Junior high school,2-5yr,,Office areas,Crossing,2,na,Moving Backward,Slight Injury
2913,31-50,Male,Junior high school,Below 1yr,No defect,Office areas,Crossing,2,Male,No distancing,Slight Injury
2914,31-50,Male,Writing & reading,5-10yr,No defect,Other,Y Shape,1,Male,Moving Backward,Slight Injury
2915,18-30,Male,Writing & reading,5-10yr,No defect,Other,Y Shape,1,na,No priority to pedestrian,Slight Injury
2916,18-30,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,Male,Changing lane to the left,Slight Injury
2917,31-50,Female,Junior high school,2-5yr,, Church areas,Y Shape,1,Female,No distancing,Slight Injury
2918,31-50,Male,Junior high school,Above 10yr,No defect, Church areas,Crossing,1,na,Other,Serious Injury
2919,Unknown,Female,Junior high school,5-10yr,No defect,Residential areas,Y Shape,1,Male,No distancing,Serious Injury
2920,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,Female,No priority to pedestrian,Slight Injury
2921,Unknown,Female,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,Moving Backward,Slight Injury
2922,Unknown,Male,Junior high school,Below 1yr,,Residential areas,Y Shape,1,na,No priority to pedestrian,Slight Injury
2923,Unknown,Female,Junior high school,Below 1yr,, Church areas,Y Shape,1,Male,No distancing,Slight Injury
2924,18-30,Male,Junior high school,5-10yr,,Other,Y Shape,1,na,No priority to pedestrian,Serious Injury
2925,Unknown,Female,Junior high school,2-5yr,,Office areas,Y Shape,1,Male,Driving carelessly,Serious Injury
2926,18-30,Male,Elementary school,Below 1yr,,Other,Y Shape,1,na,Getting off the vehicle improperly,Slight Injury
2927,Unknown,Male,Junior high school,2-5yr,,Other,Y Shape,1,Female,Driving carelessly,Slight Injury
2928,18-30,Male,Junior high school,5-10yr,,,Y Shape,1,Male,Changing lane to the left,Slight Injury
2929,18-30,Male,High school,Above 10yr,,Residential areas,Y Shape,1,na,No priority to vehicle,Slight Injury
2930,Unknown,Female,High school,Above 10yr,, Church areas,Y Shape,1,na,Changing lane to the right,Slight Injury
2931,31-50,Male,Junior high school,5-10yr,,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
2932,Unknown,Male,Elementary school,1-2yr,,Other,Y Shape,1,na,No distancing,Slight Injury
2933,31-50,Male,Elementary school,5-10yr,No defect,Residential areas,Y Shape,1,Male,No distancing,Slight Injury
2934,31-50,Male,Junior high school,5-10yr,,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
2935,18-30,Male,Junior high school,1-2yr,No defect, Industrial areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
2936,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Crossing,1,na,No priority to vehicle,Slight Injury
2937,31-50,Male,High school,Above 10yr,No defect,Office areas,Crossing,1,Male,Changing lane to the left,Slight Injury
2938,Unknown,Male,,Below 1yr,,Other,Y Shape,1,na,No priority to vehicle,Serious Injury
2939,18-30,Male,Writing & reading,5-10yr,, Church areas,Y Shape,1,Male,Moving Backward,Slight Injury
2940,18-30,Male,Above high school,Above 10yr,, Industrial areas,Crossing,3,Female,Turnover,Slight Injury
2941,18-30,Male,High school,Below 1yr,No defect,  Recreational areas,Crossing,3,Male,No distancing,Slight Injury
2942,18-30,Male,Junior high school,1-2yr,No defect,  Market areas,Crossing,3,na,No distancing,Slight Injury
2943,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,na,No distancing,Slight Injury
2944,31-50,Male,Junior high school,Above 10yr,,Other,Y Shape,1,Male,Changing lane to the left,Serious Injury
2945,31-50,Male,Junior high school,Above 10yr,No defect, Industrial areas,Y Shape,1,na,No priority to vehicle,Serious Injury
2946,18-30,Male,Junior high school,No Licence,,Other,Y Shape,1,na,Moving Backward,Slight Injury
2947,Unknown,Female,Junior high school,1-2yr,,Office areas,Y Shape,1,Female,Overtaking,Slight Injury
2948,18-30,Male,Illiterate,1-2yr,,,Y Shape,1,na,Changing lane to the left,Slight Injury
2949,Unknown,Female,Junior high school,Below 1yr,,Office areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
2950,31-50,Male,Junior high school,1-2yr,,Office areas,Y Shape,1,Female,Overtaking,Slight Injury
2951,31-50,Male,Junior high school,2-5yr,,Other,Y Shape,1,Male,Overloading,Slight Injury
2952,31-50,Male,Unknown,5-10yr,,Other,Y Shape,1,na,Other,Slight Injury
2953,31-50,Male,Unknown,Above 10yr,No defect,Other,Y Shape,1,Male,No priority to vehicle,Slight Injury
2954,18-30,Male,Junior high school,2-5yr,,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
2955,18-30,Male,Elementary school,Above 10yr,,Residential areas,Crossing,1,Female,Moving Backward,Slight Injury
2956,18-30,Male,Writing & reading,5-10yr,No defect, Church areas,Crossing,1,na,Changing lane to the left,Slight Injury
2957,18-30,Male,,,,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
2958,18-30,Male,Junior high school,5-10yr,, Church areas,No junction,1,Male,No distancing,Slight Injury
2959,18-30,Male,Junior high school,Below 1yr,,Other,Y Shape,1,Male,No priority to vehicle,Serious Injury
2960,31-50,Male,Junior high school,2-5yr,,,Y Shape,1,Male,No distancing,Serious Injury
2961,31-50,Male,Elementary school,2-5yr,,School areas,Y Shape,1,na,No distancing,Slight Injury
2962,31-50,Male,Junior high school,2-5yr,,Office areas,Y Shape,1,na,Moving Backward,Slight Injury
2963,18-30,Male,Junior high school,2-5yr,,Other,Y Shape,2,Male,Changing lane to the right,Slight Injury
2964,Unknown,Female,Junior high school,5-10yr,,Office areas,Y Shape,2,na,No priority to pedestrian,Slight Injury
2965,31-50,Male,Junior high school,5-10yr,,Other,Y Shape,2,na,Moving Backward,Slight Injury
2966,31-50,Male,Junior high school,Above 10yr,,Other,No junction,2,Male,Getting off the vehicle improperly,Slight Injury
2967,31-50,Male,Elementary school,5-10yr,,Office areas,No junction,2,Male,Overtaking,Slight Injury
2968,31-50,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,na,Overloading,Slight Injury
2969,31-50,Male,Junior high school,Above 10yr,, Church areas,Crossing,1,na,Changing lane to the right,Slight Injury
2970,31-50,Male,Elementary school,,No defect,Office areas,Y Shape,1,Male,Improper parking,Slight Injury
2971,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Y Shape,1,Male,Other,Slight Injury
2972,Over 51,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,Changing lane to the left,Slight Injury
2973,31-50,Male,Junior high school,Below 1yr,,Residential areas,Y Shape,1,na,Changing lane to the right,Slight Injury
2974,31-50,Male,,,No defect,Residential areas,Unknown,1,Male,No priority to pedestrian,Slight Injury
2975,31-50,Male,Junior high school,5-10yr,7,,Unknown,1,na,Overspeed,Slight Injury
2976,18-30,Male,Junior high school,5-10yr,7,Other,No junction,1,Male,Changing lane to the left,Serious Injury
2977,Unknown,Female,Junior high school,Above 10yr,No defect,Office areas,No junction,1,Male,No priority to vehicle,Serious Injury
2978,31-50,Male,High school,Above 10yr,No defect,School areas,No junction,1,na,Changing lane to the right,Slight Injury
2979,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,na,No distancing,Slight Injury
2980,18-30,Male,Junior high school,Above 10yr,No defect,Other,No junction,1,Female,No priority to pedestrian,Serious Injury
2981,18-30,Male,Junior high school,Above 10yr,No defect, Church areas,No junction,1,Female,No distancing,Serious Injury
2982,31-50,Male,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,No priority to vehicle,Serious Injury
2983,Unknown,Female,Junior high school,5-10yr,,Other,Y Shape,1,Female,Other,Slight Injury
2984,18-30,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,2,Female,Driving carelessly,Slight Injury
2985,18-30,Male,Junior high school,Below 1yr,,Office areas,Y Shape,2,na,Changing lane to the left,Slight Injury
2986,31-50,Male,Junior high school,Below 1yr,,Office areas,Y Shape,1,Male,Driving carelessly,Slight Injury
2987,31-50,Male,Junior high school,2-5yr,,Office areas,Y Shape,1,na,Changing lane to the left,Slight Injury
2988,18-30,Male,Elementary school,Below 1yr,, Church areas,Y Shape,1,Female,No priority to vehicle,Slight Injury
2989,18-30,Male,Junior high school,Below 1yr,,Office areas,Y Shape,1,Female,No distancing,Slight Injury
2990,31-50,Male,Junior high school,,,Office areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
2991,31-50,Male,,5-10yr,,Office areas,No junction,1,na,Changing lane to the right,Slight Injury
2992,Over 51,Male,Writing & reading,Below 1yr,No defect,Office areas,Crossing,1,na,Driving at high speed,Slight Injury
2993,Over 51,Male,Junior high school,Below 1yr,No defect,Other,Crossing,1,Female,No distancing,Slight Injury
2994,31-50,Male,Junior high school,1-2yr,No defect,Residential areas,Y Shape,2,na,Changing lane to the right,Slight Injury
2995,31-50,Male,Elementary school,Above 10yr,No defect, Church areas,Y Shape,2,na,Changing lane to the left,Slight Injury
2996,31-50,Male,Elementary school,Above 10yr,No defect,Other,No junction,1,Male,Getting off the vehicle improperly,Slight Injury
2997,18-30,Male,Elementary school,Below 1yr,No defect,  Recreational areas,Crossing,1,Male,Other,Slight Injury
2998,31-50,Male,High school,2-5yr,,,Crossing,1,Male,Other,Slight Injury
2999,18-30,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,2,Female,No distancing,Slight Injury
3000,18-30,Male,Above high school,Above 10yr,No defect,Other,Y Shape,2,na,No priority to vehicle,Slight Injury
3001,18-30,Male,Junior high school,2-5yr,,Other,No junction,1,na,Overtaking,Serious Injury
3002,31-50,Male,Junior high school,2-5yr,No defect, Church areas,Y Shape,1,na,No priority to pedestrian,Slight Injury
3003,Over 51,Male,High school,1-2yr,No defect, Church areas,Y Shape,1,Male,No distancing,Slight Injury
3004,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Female,Changing lane to the right,Slight Injury
3005,Over 51,Male,Junior high school,Below 1yr,No defect,Other,Y Shape,1,na,Driving carelessly,Slight Injury
3006,31-50,Male,Junior high school,Below 1yr,,  Recreational areas,Y Shape,1,Female,Changing lane to the right,Slight Injury
3007,Over 51,Male,Elementary school,,,Other,Crossing,3,na,Overtaking,Slight Injury
3008,Over 51,Male,Junior high school,Below 1yr,,Office areas,Crossing,3,Male,Other,Slight Injury
3009,Over 51,Male,Junior high school,1-2yr,No defect, Church areas,Crossing,3,na,Driving to the left,Slight Injury
3010,Under 18,Male,Elementary school,2-5yr,,Office areas,Crossing,3,Male,Driving at high speed,Slight Injury
3011,31-50,Male,High school,1-2yr,No defect,Office areas,Y Shape,1,Female,Unknown,Slight Injury
3012,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
3013,18-30,Male,Junior high school,Below 1yr,,Residential areas,Crossing,1,Male,No distancing,Slight Injury
3014,18-30,Male,High school,Above 10yr,No defect,Office areas,Crossing,1,Male,Other,Slight Injury
3015,Over 51,Male,Elementary school,5-10yr,,Residential areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
3016,Over 51,Male,Elementary school,Below 1yr,No defect,Residential areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
3017,18-30,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Male,No priority to pedestrian,Slight Injury
3018,Over 51,Male,Elementary school,5-10yr,No defect, Hospital areas,Y Shape,1,na,Overtaking,Slight Injury
3019,31-50,Male,Junior high school,2-5yr,No defect,Other,Y Shape,1,Male,Driving carelessly,Slight Injury
3020,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,na,No priority to vehicle,Slight Injury
3021,31-50,Male,Junior high school,5-10yr,No defect,  Recreational areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
3022,31-50,Male,High school,1-2yr,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
3023,18-30,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Female,Driving carelessly,Slight Injury
3024,31-50,Male,Elementary school,2-5yr,No defect,Other,Y Shape,1,na,Changing lane to the right,Slight Injury
3025,18-30,Male,Junior high school,5-10yr,No defect,Office areas,Crossing,1,Female,Changing lane to the right,Serious Injury
3026,31-50,Male,Junior high school,Below 1yr,No defect,Other,Crossing,1,Male,Changing lane to the left,Serious Injury
3027,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Crossing,1,Female,Overturning,Serious Injury
3028,Unknown,Female,High school,Above 10yr,No defect,Other,Y Shape,1,na,Driving carelessly,Slight Injury
3029,18-30,Male,Junior high school,5-10yr,No defect,Other,Crossing,1,Male,No distancing,Slight Injury
3030,Over 51,Male,Elementary school,1-2yr,, Church areas,Crossing,1,Female,Driving carelessly,Slight Injury
3031,31-50,Male,Junior high school,,5,Office areas,Crossing,1,Male,Changing lane to the left,Slight Injury
3032,Unknown,Female,Above high school,1-2yr,No defect,School areas,Y Shape,1,Male,No priority to vehicle,Slight Injury
3033,31-50,Male,Junior high school,Above 10yr,No defect,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
3034,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,No distancing,Slight Injury
3035,31-50,Male,Junior high school,5-10yr,No defect,Residential areas,Y Shape,2,Male,Moving Backward,Slight Injury
3036,31-50,Male,Junior high school,2-5yr,No defect, Industrial areas,Y Shape,2,na,Moving Backward,Slight Injury
3037,31-50,Male,,,No defect,Other,Y Shape,1,na,No distancing,Slight Injury
3038,Over 51,Male,Junior high school,2-5yr,No defect,Residential areas,Y Shape,1,Female,No distancing,Slight Injury
3039,18-30,Male,Junior high school,2-5yr,No defect,  Recreational areas,Y Shape,1,na,No distancing,Slight Injury
3040,Unknown,Male,Junior high school,Above 10yr,7,Office areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
3041,31-50,Male,Junior high school,1-2yr,No defect, Outside rural areas,Crossing,1,na,Driving carelessly,Slight Injury
3042,18-30,Male,Above high school,1-2yr,No defect, Outside rural areas,Crossing,1,Male,Changing lane to the right,Slight Injury
3043,31-50,Male,Above high school,No Licence,No defect, Outside rural areas,Y Shape,1,Female,Changing lane to the left,Slight Injury
3044,31-50,Male,Junior high school,1-2yr,No defect, Outside rural areas,Y Shape,1,na,Driving carelessly,Slight Injury
3045,Over 51,Male,Junior high school,5-10yr,No defect, Outside rural areas,No junction,1,Male,Driving carelessly,Serious Injury
3046,Over 51,Male,Junior high school,Above 10yr,No defect,School areas,Crossing,1,Male,No distancing,Slight Injury
3047,31-50,Male,Junior high school,Above 10yr,No defect, Outside rural areas,Y Shape,2,na,Other,Slight Injury
3048,31-50,Male,Junior high school,5-10yr,No defect, Outside rural areas,Y Shape,2,Male,Changing lane to the right,Slight Injury
3049,31-50,Male,Elementary school,2-5yr,No defect, Outside rural areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3050,18-30,Male,Junior high school,2-5yr,No defect, Outside rural areas,No junction,1,na,No distancing,Slight Injury
3051,31-50,Male,Junior high school,Below 1yr,No defect,Office areas,No junction,1,Male,No distancing,Slight Injury
3052,31-50,Male,Junior high school,2-5yr,No defect, Outside rural areas,Y Shape,1,Female,Overturning,Slight Injury
3053,Over 51,Male,Junior high school,2-5yr,No defect, Outside rural areas,Y Shape,1,na,Driving at high speed,Slight Injury
3054,Unknown,Female,Elementary school,5-10yr,No defect, Outside rural areas,Unknown,1,Female,No priority to vehicle,Slight Injury
3055,31-50,Male,Junior high school,Above 10yr,No defect,Office areas,Unknown,1,Female,No priority to pedestrian,Slight Injury
3056,Unknown,Male,,,No defect,  Recreational areas,Y Shape,1,na,No priority to vehicle,Slight Injury
3057,Unknown,Female,Junior high school,2-5yr,No defect,Office areas,Y Shape,1,Male,Other,Slight Injury
3058,31-50,Male,Junior high school,5-10yr,No defect,Other,Y Shape,1,Female,Other,Slight Injury
3059,18-30,Male,Above high school,2-5yr,No defect,Residential areas,Unknown,1,Female,Moving Backward,Serious Injury
3060,31-50,Male,,,No defect,Residential areas,Y Shape,1,Male,No distancing,Slight Injury
3061,31-50,Male,,1-2yr,No defect,Residential areas,Y Shape,1,Male,Moving Backward,Slight Injury
3062,Unknown,Female,Junior high school,2-5yr,No defect,Other,Y Shape,1,Female,No priority to vehicle,Slight Injury
3063,18-30,Male,Junior high school,Above 10yr,No defect,Office areas,Y Shape,1,na,Driving carelessly,Slight Injury
3064,Unknown,Female,Junior high school,Below 1yr,,Other,No junction,1,Male,No distancing,Slight Injury
3065,31-50,Male,Junior high school,2-5yr,,Other,No junction,1,Female,Other,Slight Injury
3066,31-50,Male,Junior high school,Below 1yr,,Office areas,Y Shape,1,na,Changing lane to the right,Slight Injury
3067,Unknown,Female,High school,5-10yr,, Church areas,Y Shape,1,Female,No distancing,Slight Injury
3068,18-30,Male,Above high school,1-2yr,No defect,Other,Crossing,1,Male,Driving carelessly,Slight Injury
3069,Unknown,Female,Junior high school,Below 1yr,,Other,Crossing,1,Male,No distancing,Slight Injury
3070,31-50,Male,,,,Office areas,Crossing,1,na,No priority to vehicle,Slight Injury
3071,31-50,Male,High school,Below 1yr,,Office areas,Crossing,1,Female,Changing lane to the right,Slight Injury
3072,Unknown,Male,High school,Below 1yr,,Office areas,Y Shape,1,Male,No priority to pedestrian,Slight Injury
3073,18-30,Male,,,No defect,Office areas,Y Shape,1,Female,No priority to vehicle,Serious Injury
3074,31-50,Male,High school,2-5yr,,,Y Shape,1,Female,Changing lane to the left,Serious Injury
3075,31-50,Male,Junior high school,Above 10yr,,Office areas,Y Shape,1,na,Turnover,Slight Injury
3076,18-30,Male,Junior high school,Above 10yr,,Other,Y Shape,1,Female,Driving to the left,Slight Injury
3077,18-30,Male,Junior high school,5-10yr,,Other,Y Shape,1,na,Driving carelessly,Slight Injury
3078,31-50,Male,Junior high school,1-2yr,,Other,Y Shape,1,Male,Driving to the left,Slight Injury
3079,31-50,Male,Unknown,Below 1yr,,Office areas,Y Shape,1,na,Driving carelessly,Slight Injury
3080,31-50,Male,Junior high school,Below 1yr,,Office areas,No junction,1,Male,No priority to pedestrian,Slight Injury
3081,Unknown,Female,High school,2-5yr,,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
3082,31-50,Male,Junior high school,1-2yr,No defect,Office areas,Y Shape,1,Male,Changing lane to the right,Slight Injury
3083,Under 18,Male,Junior high school,5-10yr,, Church areas,No junction,1,Female,Moving Backward,Slight Injury
3084,18-30,Male,Elementary school,2-5yr,,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
3085,18-30,Male,Elementary school,5-10yr,,Residential areas,Crossing,1,Female,Changing lane to the right,Slight Injury
3086,Unknown,Male,Junior high school,Above 10yr,,School areas,Crossing,1,Female,Driving carelessly,Slight Injury
3087,18-30,Male,Junior high school,5-10yr,,Office areas,No junction,1,Male,Driving carelessly,Slight Injury
3088,31-50,Male,High school,5-10yr,,Other,No junction,1,na,Driving carelessly,Slight Injury
3089,31-50,Male,Junior high school,5-10yr,,Other,Y Shape,1,Male,Changing lane to the right,Slight Injury
3090,31-50,Male,Junior high school,Above 10yr,No defect,Other,Crossing,1,na,Changing lane to the right,Slight Injury
3091,31-50,Male,Junior high school,1-2yr,No defect,Other,Crossing,1,na,Driving carelessly,Slight Injury
3092,18-30,Male,Junior high school,2-5yr,No defect,Office areas,Crossing,1,Male,Overtaking,Slight Injury
